model_code,sku,productidweb,category_code,brand_id,brand,Sản xuất tại,Thời gian ra mắt,Dung tích tổng,Điện năng tiêu thụ,Công nghệ tiết kiệm điện,Tiện ích,Chất liệu động cơ,Số cửa,Cao,Ngang,Sâu,Khối lượng máy,Độ ồn,Loại Gas,Loại sản phẩm,Chất liệu mặt,Công nghệ,Chất liệu ruột,Dung tích ngăn đông mềm,Thương hiệu của,Số ngăn,Nhiệt độ ngăn đông (độ C),giá gốc,giá khuyến mãi,khuyến mãi quà
164590,1750894000025,276492,40,191,Sanaky,Việt Nam,2020,1500 lít,9.898 kWh/ngày,Không có,Cửa kính | Bảng điều khiển | Lỗ thoát nước | Khoá cửa tủ | Bánh xe | Đèn LED,Đồng,3 cửa,206,156,73,210,32 - 42 dB,R290,Tủ mát,Công nghệ kính Low-E,Công nghệ làm lạnh Nofrost,Hợp kim nhôm sơn tĩnh điện,Không,Việt Nam,1 ngăn mát,Không,42010000,38650000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164589,3050894000056,276491,40,191,Sanaky,Việt Nam,2020,1200 lít,3.04 kWh/ngày,Inverter,Cửa kính | Lỗ thoát nước | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện | Đèn LED,Đồng,2 cửa,206,121,73,177,32 - 42 dB,R134a,Tủ mát,Công nghệ kính Low-E,Công nghệ làm lạnh Nofrost,Hợp kim nhôm sơn tĩnh điện,Không,Việt Nam,1 ngăn mát,Không,36320000,34040000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164587,3050894000053,276488,40,191,Sanaky,Việt Nam,2019,400 lít,2.415 kWh/ngày,Inverter,Cửa kính | Lỗ thoát nước | Khoá cửa tủ | Bánh xe | Inverter tiết kiệm điện | Đèn LED,Nhôm,1 cửa,200,62,61,72,32 - 42 dB,R600a,Tủ mát,Công nghệ kính Low-E,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,1 ngăn mát,Không,13740000,13090000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164586,3050894000052,276486,40,191,Sanaky,Việt Nam,2020,250 lít,2.527 kWh/ngày,Không có,Cửa kính | Lỗ thoát nước | Khoá cửa tủ | Bánh xe | Đèn LED,Nhôm,1 cửa,176,54,54,58,32 - 42 dB,R600a,Tủ mát,Công nghệ kính Low-E,Làm lạnh trực tiếp,Nhựa ABS,Không,Việt Nam,1 ngăn mát,Không,10590000,9590000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164582,3050893000209,274785,40,191,Sanaky,Việt Nam,2023,250 lít,299 kWh/năm,Không có,Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe,Nhôm,1 cửa,85,99,64,39,32 - 42dB,R600a,Tủ đông,Không có kính,Làm lạnh trực tiếp,Hợp kim nhôm sơn tĩnh điện/PCM (Hợp kim thép chống rỉ),Không,Việt Nam,1 ngăn đông,≤-18℃,6570000,6200000,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164559,3050894000051,265502,40,187,Aqua,Trung Quốc,2021,340 lít,1.85 kWh/ngày,Không có,Cửa kính | Lỗ thoát nước | Nút điều chỉnh nhiệt độ bên ngoài tủ | 5 khay đựng | Bánh xe | Đèn LED,Nhôm,1 cửa,194,60,63,60,57 dB,R600a,Tủ mát,Kính cách nhiệt Low-E,Công nghệ làm mát đa chiều 360 độ,Nhựa HIPS kháng khuẩn,Không,Nhật Bản,1 ngăn mát,Không,12490000,9190000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164558,3050894000050,265501,40,187,Aqua,Trung Quốc,2021,300 lít,1.94 kWh/ngày,Không có,Cửa kính | Lỗ thoát nước | Nút điều chỉnh nhiệt độ bên ngoài tủ | Hộp đèn LED | 4 khay đựng | Bánh xe,Nhôm,1 cửa,179,60,63,55,57 dB,R600a,Tủ mát,Kính cách nhiệt Low-E,Công nghệ làm mát đa chiều 360 độ,Nhựa HIPS kháng khuẩn,Không,Nhật Bản,1 ngăn mát,Không,11490000,8590000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164557,3050894000049,265500,40,187,Aqua,Trung Quốc,2021,235 lít,1.57 kWh/ngày,Không có,Cửa kính | Lỗ thoát nước | Nút điều chỉnh nhiệt độ bên ngoài tủ | Hộp đèn LED | 4 khay đựng | Bánh xe,Nhôm,1 cửa,176,51,58,49,54 dB,R600a,Tủ mát,Kính cách nhiệt Low-E,Công nghệ làm mát đa chiều 360 độ,Nhựa HIPS kháng khuẩn,Không,Nhật Bản,1 ngăn mát,Không,10690000,9890000,"Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
164554,3050893000223,264018,40,184,Hoà Phát,Việt Nam,2021,351 lít,,Không có,Nút điều chỉnh nhiệt độ bên ngoài tủ,Hợp kim,1 cửa,111,54,56,39,≤ 40 dB,R134a,Tủ đông,Không có kính,Làm lạnh trực tiếp,Hợp kim nhôm sơn tĩnh điện,Không,Việt Nam,1 ngăn đông,Dưới -18℃,,,
164553,3050893000222,264017,40,184,Hoà Phát,Việt Nam,2018,746 lít,,Inverter,Cửa kính | Xẻng cạo tuyết | Giỏ đựng đồ | Lỗ thoát nước | Khoá cửa tủ | Nút điều chỉnh nhiệt độ bên ngoài tủ | Bánh xe | Inverter tiết kiệm điện,Đồng,2 cửa,86,123,68,56,≤ 40 dB,R600a,Tủ đông,Kính cường lực,Làm lạnh trực tiếp (có đóng tuyết),Hợp kim nhôm sơn tĩnh điện,Không,Việt Nam,"1 ngăn đông, 1 ngăn mát",Dưới -18℃,,,"Phiếu mua hàng Máy lọc không khí/Hút bụi trị giá 300,000đ áp dụng đơn hàng từ 3 triệu | Phiếu mua hàng Máy lọc nước Sanaky trị giá 500,000đ | Phiếu mua hàng Quạt điều hòa trị giá 300.000đ | Phiếu mua hàng Quạt bàn/hộp/sạc/đứng/lửng/treo trị giá 100.000đ (Áp dụng tùy sản phẩm) | Phiếu mua hàng giảm 10% tối đa 300,000đ mua đèn năng lượng mặt trời | Miễn phí công lắp đặt | Phiếu mua hàng mua Pin tiểu (đơn hàng từ 80.000đ trở lên) trị giá 20.000đ"
